Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,14,Bill  Vukovich ,Kurtis Kraft-Offenhauser,200,3:53'01.69,1,9
2,16,Art Cross,Kurtis Kraft-Offenhauser,200,+ 3'30.87,12,6
SHR,3,Sam Hanks,Kurtis Kraft-Offenhauser,200,+ 4'11.50,9,2
SHR,59,Fred Agabashian,Kurtis Kraft-Offenhauser,200,+ 4'39.24,2,1.5
5,5,Jack McGrath,Kurtis Kraft-Offenhauser,200,+ 7'49.64,3,2
6,48,Jimmy  Daywalt,Kurtis Kraft-Offenhauser,200,+ 8'10.21,21,
7,2,Jim Rathmann,Kurtis Kraft-Offenhauser,200,+ 8'46.02,25,
8,12,Ernie McCoy,Stevens-Offenhauser,200,+ 10'04.55,20,
9,98,Tony  Bettenhausen,Kuzma-Offenhauser,196,Accident,6,
10,53,Jimmy Davies,Kurtis Kraft-Offenhauser,193,+ 7 Laps,32,
11,9,Duke Nalon,Kurtis Kraft-Novi,191,Accident,26,
12,73,Carl Scarborough,Kurtis Kraft-Offenhauser,190,+ 10 Laps,19,
13,88,Manny Ayulo,Kuzma-Offenhauser,184,Engine,4,
14,8,Jimmy Bryan,Schroeder-Offenhauser,183,+ 17 Laps,31,
15,49,Bill Holland,Kurtis Kraft-Offenhauser,177,Magneto,28,
16,92,Rodger Ward,Kurtis Kraft-Offenhauser,177,Axle,10,
17,23,Walt  Faulkner,Kurtis Kraft-Offenhauser,176,+ 24 Laps,14,
Ret,22,Marshall  Teague,Kurtis Kraft-Offenhauser,169,Oil leak,22,
Ret,62,Spider Webb,Kurtis Kraft-Offenhauser,166,Oil leak,18,
Ret,51,Bob Sweikert,Kuzma-Offenhauser,151,Suspension,29,
Ret,83,Mike Nazaruk,Turner-Offenhauser,146,Transmission,23,
Ret,77,Pat Flaherty,Kuzma-Offenhauser,115,Accident,24,
Ret,55,Jerry  Hoyt,Kurtis Kraft-Offenhauser,107,Overheating,7,
SHR,4,Duane Carter,Lesovsky-Offenhauser,94,Ignition,27,2
SHR,59,Paul Russo,Kurtis Kraft-Offenhauser,89,Magneto,17,1.5
Ret,21,Johnnie  Parsons,Kurtis Kraft-Offenhauser,86,Engine,8,
Ret,38,Don  Freeland,Watson-Offenhauser,76,Accident,15,
Ret,41,Gene Hartley,Kurtis Kraft-Offenhauser,53,Accident,13,
Ret,97,Chuck  Stevenson,Kuzma-Offenhauser,42,Fuel leak,16,
Ret,99,Cal  Niday,Kurtis Kraft-Offenhauser,30,Magneto,30,
Ret,29,Bob Scott,Bromme-Offenhauser,14,Oil leak,11,
Ret,56,Johnny Thomson,Del Roy-Offenhauser ,6,Ignition,33,
Ret,32,Andy Linden,Stevens-Offenhauser,3,Accident,5,
