Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,14,Jo Siffert,BRM ,54,1:30.23.91,1,9
2,2,Emerson Fittipaldi,Lotus-Ford,54,+ 4.12,5,6
3,8,Tim   Schenken,Brabham-Ford,54,+ 19.77,7,4
4,3,Reine   Wisell,Lotus-Ford,54,+ 31.87,10,3
5,7,Graham Hill,Brabham-Ford,54,+ 48.43,8,2
6,25,Henri Pescarolo,March-Ford,54,+ 84.51,13,1
7,24,Rolf Stommelen,Surtees-Ford,54,+ 97.42,12,
8,17,Ronnie Peterson,March-Ford,53,+ 1 Lap,11,
9,10,Jackie Oliver,McLaren-Ford,53,+ 1 Lap,22,
10,23,Peter  Gethin ,BRM ,52,+ 2 Laps,16,
11,16,Helmut  Marko ,BRM ,52,+ 2 Laps,17,
12,19,Nanni  Galli ,March-Alfa Romeo,51,+ 3 Laps,15,
NC,27,Mike  Beuttler ,March-Ford,47,+ 7 Laps,19,
Ret,12,Francois  Cevert ,Tyrrell-Ford,42,Engine,3,
Ret,11,Jackie Stewart,Tyrrell-Ford,35,Halfshaft,2,
Ret,4,Jacky Ickx,Ferrari ,31,Engine,6,
Ret,26,Niki Lauda,March-Ford,20,Handling,21,
Ret,22,John Surtees,Surtees-Ford,12,Engine,18,
Ret,5,Clay Regazzoni,Ferrari ,8,Engine,4,
Ret,15,Howden  Ganley ,BRM ,5,Ignition,14,
Ret,9,Denny Hulme,McLaren-Ford,4,Engine,9,
Ret,28,Jo Bonnier,McLaren-Ford,0,Fuel Leak,20,
