Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,9,Mika Hakkinen,McLaren-Mercedes,69,1:38'57.771,5,10
2,10,David Coulthard,McLaren-Mercedes,69,+1.654,6,6
3,3,Jacques Villeneuve,Williams-Renault,69,+1.803,1,4
4,8,Gerhard Berger,Benetton-Renault,69,+1.919,8,3
5,6,Eddie Irvine,Ferrari,69,+3.789,7,2
6,4,Heinz-Harald Frentzen,Williams-Renault,69,+4.537,3,1
7,14,Olivier Panis,Prost-Mugen-Honda,69,+1'07.145,9,
8,16,Johnny Herbert,Sauber-Petronas,69,1'12.961,14,
9,23,Jan Magnussen,Stewart-Ford,69,+1'17.487,11,
10,15,Shinji Nakano,Prost-Mugen-Honda,69,+1'18.215,15,
11,12,Giancarlo Fisichella,Jordan-Peugeot,68,+1 lap,17,
12,19,Mika Salo,Tyrrell-Ford,68,+1 lap,21,
13,7,Jean Alesi,Benetton-Renault,68,+1 lap,10,
14,17,Norberto Fontana,Sauber-Petronas,68,+1 lap,18,
15,21,Tarso Marques,Minardi-Hart,68,+1 lap,20,
16,18,Jos Verstappen,Tyrrell-Ford,68,+1 lap,22,
17,20,Ukyo Katayama,Minardi-Hart,68,+1 lap,19,
Ret,5,Michael Schumacher,Ferrari,47,collision,2,
Ret,1,Damon Hill,Arrows-Yamaha,47,gearbox,4,
Ret,11,Ralf Schumacher,Jordan-Peugeot,44,water leak,16,
Ret,22,Rubens Barrichello,Stewart-Ford,30,gearbox,12,
Ret,2,Pedro Diniz,Arrows-Yamaha,11,spun off,13,
