Pos,No,Driver,Team,Laps,Time/Retired,Grid,Pts
1,1,Fernando Alonso,McLaren-Mercedes,53,1:18:37.806,1,10
2,2,Lewis Hamilton,McLaren-Mercedes,53,+6.0 secs,2,8
3,6,Kimi Räikkönen,Ferrari,53,+27.3 secs,5,6
4,9,Nick Heidfeld,BMW,53,+56.5 secs,4,5
5,10,Robert Kubica,BMW,53,+60.5 secs,6,4
6,16,Nico Rosberg,Williams-Toyota,53,+65.8 secs,8,3
7,4,Heikki Kovalainen,Renault,53,+66.7 secs,7,2
8,7,Jenson Button,Honda,53,+72.1 secs,10,1
9,15,Mark Webber,Red Bull-Renault,53,+75.8 secs,11,
10,8,Rubens Barrichello,Honda,53,+76.9 secs,12,
11,12,Jarno Trulli,Toyota,53,+77.7 secs,9,
12,3,Giancarlo Fisichella,Renault,52,+1 Lap,15,
13,17,Alexander Wurz,Williams-Toyota,52,+1 Lap,13,
14,23,Anthony Davidson,Super Aguri-Honda,52,+1 Lap,14,
15,11,Ralf Schumacher,Toyota,52,+1 Lap,18,
16,22,Takuma Sato,Super Aguri-Honda,52,+1 Lap,17,
17,18,Vitantonio Liuzzi,STR-Ferrari,52,+1 Lap,19,
18,19,Sebastian Vettel,STR-Ferrari,52,+1 Lap,16,
19,20,Adrian Sutil,Spyker-Ferrari,52,+1 Lap,21,
20,21,Sakon Yamamoto,Spyker-Ferrari,52,+1 Lap,22,
Ret,5,Felipe Massa,Ferrari,10,Suspension,3,
Ret,14,David Coulthard,Red Bull-Renault,1,Accident,20,
