Grand Prix,Date,Winning Driver,Team,Laps,Time
Australia,17/03/2013,Kimi Räikkönen,Lotus-Renault,58,1:30:03.225
Malaysia,24/03/2013,Sebastian Vettel,Red Bull Racing-Renault,56,1:38:56.681
China,14/04/2013,Fernando Alonso,Ferrari,56,1:36:26.945
Bahrain,21/04/2013,Sebastian Vettel,Red Bull Racing-Renault,57,1:36:00.498
Spain,12/05/2013,Fernando Alonso,Ferrari,66,1:39:16.596
Monaco,26/05/2013,Nico Rosberg,Mercedes,78,2:17:52.056
Canada,09/06/2013,Sebastian Vettel,Red Bull Racing-Renault,70,1:32:09.143
Great Britain,30/06/2013,Nico Rosberg,Mercedes,52,1:32:59.456
Germany,07/07/2013,Sebastian Vettel,Red Bull Racing-Renault,60,1:41:14.711
Hungary,28/07/2013,Lewis Hamilton,Mercedes,70,1:42:29.445
Belgium,25/08/2013,Sebastian Vettel,Red Bull Racing-Renault,44,1:23:42.196
Italy,08/09/2013,Sebastian Vettel,Red Bull Racing-Renault,53,1:18:33.352
Singapore,22/09/2013,Sebastian Vettel,Red Bull Racing-Renault,61,1:59:13.132
Korea,06/10/2013,Sebastian Vettel,Red Bull Racing-Renault,55,1:43:13.701
Japan,13/10/2013,Sebastian Vettel,Red Bull Racing-Renault,53,1:26:49.301
India,27/10/2013,Sebastian Vettel,Red Bull Racing-Renault,60,1:31:12.187
Abu Dhabi,03/11/2013,Sebastian Vettel,Red Bull Racing-Renault,55,1:38:06.106
United States,17/11/2013,Sebastian Vettel,Red Bull Racing-Renault,56,1:39:17.148
Brazil,24/11/2013,Sebastian Vettel,Red Bull Racing-Renault,71,1:32:36.300
